"X","cell1","cell2","cell3","cell4","cell5","cell6","cell7","cell8","cell9","count_famrecall","count_prestudy_sequence","count_study_response","count_test_response","date_startdate","date_starttime","multichar_knowresp","p2dur","plc1","plc1c","plc1s","plc1sh","plc1x","plc1y","plc2","plc2c","plc2s","plc2sh","plc2x","plc2y","plc3","plc3c","plc3s","plc3sh","plc3x","plc3y","plc4","plc4c","plc4s","plc4sh","plc4x","plc4y","plc5","plc5c","plc5s","plc5sh","plc5x","plc5y","plcundefined","plcundefineds","plcundefinedsh","plcundefinedx","plcundefinedy","response_study_response","response_test_response","response_time_study_response","response_time_test_response","rtnr","sessionid","stim","type","tq"
580,0,0,2,4,3,5,1,0,0,0,19,59,79,"30-09-23","11:04:09","noe6ck",751,"cir0.png",0,1,"cir",-120,120,"tri0.png",0,1,"tri",120,-120,"tri0.png",0,1,"tri",0,0,"tri0.png",0,1,"tri",-120,0,"sqa0.png",0,1,"sqa",120,0,"",NA,"",NA,NA,"right","right",984,2249,4,1698660323341,"p3sarrshacol4.png","sarrshacol","new"
867,1,0,2,3,0,4,0,5,0,0,19,59,79,"21-09-23","12:16:08","cktdi9",1736,"tri1.png",1,1,"tri",-120,-120,"sqa2.png",2,1,"sqa",120,-120,"cir3.png",3,1,"cir",-120,0,"cir1.png",1,1,"cir",120,0,"cir5.png",5,1,"cir",0,120,"",NA,"",NA,NA,"right","left",1375,1264,1,1697883398430,"p3sarrshacol4.png","sarrshacol","new"
868,1,0,0,5,3,0,0,4,2,0,19,59,79,"21-09-23","12:16:08","cktdi9",1736,"tri3.png",3,1,"tri",-120,-120,"cir2.png",2,1,"cir",120,120,"cir4.png",4,1,"cir",0,0,"sqa6.png",6,1,"sqa",0,120,"sqa2.png",2,1,"sqa",-120,0,"",NA,"",NA,NA,"right","left",1375,1264,2,1697883398430,"p3sarrshacol4.png","sarrshacol","new"
869,0,5,0,2,0,3,1,0,4,0,19,59,79,"21-09-23","12:16:08","cktdi9",1736,"cir3.png",3,1,"cir",-120,120,"cir1.png",1,1,"cir",-120,0,"tri3.png",3,1,"tri",120,0,"sqa2.png",2,1,"sqa",120,120,"cir5.png",5,1,"cir",0,-120,"",NA,"",NA,NA,"right","left",1375,1264,3,1697883398430,"p3sarrshacol4.png","sarrshacol","new"
870,1,2,0,4,3,0,0,5,0,0,19,59,79,"21-09-23","12:16:08","cktdi9",1736,"tri1.png",1,1,"tri",-120,-120,"tri5.png",5,1,"tri",0,-120,"cir6.png",6,1,"cir",0,0,"sqa5.png",5,1,"sqa",-120,0,"sqa6.png",6,1,"sqa",0,120,"",NA,"",NA,NA,"right","left",1375,1264,4,1697883398430,"p3sarrshacol4.png","sarrshacol","new"
1012,3,0,0,4,5,2,0,0,NA,0,19,59,79,"20-09-23","15:05:16","wqufrn",2180,"sqa1.png",1,0,"sqa",0,-120,"tri4.png",4,1,"tri",120,0,"sqa2.png",2,1,"sqa",-120,-120,"sqa1.png",1,1,"sqa",-120,0,"sqa4.png",4,1,"sqa",0,0,"sqa0.png",1,"sqa",0,0,"right","left",754,820,1,1697807202151,"p3sarrshacol4.png","sarrshacol","new"
1013,4,5,0,2,1,0,0,3,0,0,19,59,79,"20-09-23","15:05:16","wqufrn",2180,"tri3.png",3,1,"tri",0,0,"sqa2.png",2,1,"sqa",-120,0,"cir4.png",4,1,"cir",0,120,"sqa4.png",4,1,"sqa",-120,-120,"sqa3.png",3,1,"sqa",0,-120,"sqa0.png",1,"sqa",0,0,"right","left",754,820,2,1697807202151,"p3sarrshacol4.png","sarrshacol","new"
1014,0,2,4,0,3,1,0,5,0,0,19,59,79,"20-09-23","15:05:16","wqufrn",2180,"sqa4.png",4,1,"sqa",120,0,"cir1.png",1,1,"cir",0,-120,"tri3.png",3,1,"tri",0,0,"sqa1.png",1,1,"sqa",120,-120,"cir2.png",2,1,"cir",0,120,"sqa0.png",1,"sqa",0,0,"right","left",754,820,3,1697807202151,"p3sarrshacol4.png","sarrshacol","new"
1015,0,0,2,1,4,5,0,3,0,0,19,59,79,"20-09-23","15:05:16","wqufrn",2180,"tri1.png",1,1,"tri",-120,0,"sqa1.png",1,1,"sqa",120,-120,"cir4.png",4,1,"cir",0,120,"cir3.png",3,1,"cir",0,0,"sqa3.png",3,1,"sqa",120,0,"sqa0.png",1,"sqa",0,0,"right","left",754,820,4,1697807202151,"p3sarrshacol4.png","sarrshacol","new"
1302,2,0,3,5,0,1,4,0,0,0,19,59,79,"16-09-23","21:02:51","vt3ydj",1744,"tri6.png",6,1,"tri",120,0,"sqa5.png",5,1,"sqa",-120,-120,"tri3.png",3,1,"tri",120,-120,"sqa5.png",5,1,"sqa",-120,120,"cir1.png",1,1,"cir",-120,0,"",NA,"",NA,NA,"right","left",656,1256,1,1697483050272,"p3sarrshacol4.png","sarrshacol","new"
1303,0,5,4,2,0,1,3,0,0,0,19,59,79,"16-09-23","21:02:51","vt3ydj",1744,"tri4.png",4,1,"tri",120,0,"cir6.png",6,1,"cir",-120,0,"tri4.png",4,1,"tri",-120,120,"sqa4.png",4,1,"sqa",120,-120,"sqa4.png",4,1,"sqa",0,-120,"tri0.png",1,"tri",120,0,"right","left",656,1256,2,1697483050272,"p3sarrshacol4.png","sarrshacol","new"
1304,1,2,0,3,4,NA,5,0,0,0,19,59,79,"16-09-23","21:02:51","vt3ydj",1744,"sqa6.png",6,1,"sqa",-120,-120,"sqa2.png",2,1,"sqa",0,-120,"cir5.png",5,1,"cir",-120,0,"cir4.png",4,1,"cir",0,0,"tri5.png",5,1,"tri",-120,120,"tri0.png",1,"tri",120,0,"right","left",656,1256,3,1697483050272,"p3sarrshacol4.png","sarrshacol","new"
1305,3,0,5,1,0,4,2,0,0,0,19,59,79,"16-09-23","21:02:51","vt3ydj",1744,"cir5.png",5,1,"cir",-120,0,"sqa1.png",1,1,"sqa",-120,120,"sqa1.png",1,1,"sqa",-120,-120,"tri3.png",3,1,"tri",120,0,"tri3.png",3,1,"tri",120,-120,"tri0.png",1,"tri",120,0,"right","left",656,1256,4,1697483050272,"p3sarrshacol4.png","sarrshacol","new"
1588,0,3,1,4,5,2,0,0,0,0,19,59,79,"15-09-23","21:46:13","v5sueo",1531,"cir0.png",0,1,"cir",120,-120,"tri0.png",0,1,"tri",120,0,"sqa0.png",0,1,"sqa",0,-120,"sqa0.png",0,1,"sqa",-120,0,"cir0.png",0,1,"cir",0,0,"",NA,"",NA,NA,"right","left",720,1469,1,1697399192103,"p3sarrshacol4.png","sarrshacol","new"
1589,0,5,0,0,1,3,0,4,2,0,19,59,79,"15-09-23","21:46:13","v5sueo",1531,"sqa0.png",0,1,"sqa",0,0,"cir0.png",0,1,"cir",120,120,"cir0.png",0,1,"cir",120,0,"sqa0.png",0,1,"sqa",0,120,"tri0.png",0,1,"tri",0,-120,"",NA,"",NA,NA,"right","left",720,1469,2,1697399192103,"p3sarrshacol4.png","sarrshacol","new"
1590,0,4,5,3,0,0,1,0,2,0,19,59,79,"15-09-23","21:46:13","v5sueo",1531,"tri0.png",0,1,"tri",-120,120,"cir0.png",0,1,"cir",120,120,"sqa0.png",0,1,"sqa",-120,0,"sqa0.png",0,1,"sqa",0,-120,"tri0.png",0,1,"tri",120,-120,"",NA,"",NA,NA,"right","left",720,1469,3,1697399192103,"p3sarrshacol4.png","sarrshacol","new"
1591,2,3,0,5,4,0,1,NA,0,0,19,59,79,"15-09-23","21:46:13","v5sueo",1531,"sqa5.png",5,1,"sqa",-120,120,"sqa5.png",5,1,"sqa",-120,-120,"cir3.png",3,1,"cir",0,-120,"cir3.png",3,1,"cir",0,0,"sqa4.png",4,1,"sqa",-120,0,"cir0.png",1,"cir",0,120,"right","left",720,1469,4,1697399192103,"p3sarrshacol4.png","sarrshacol","new"
1733,0,2,1,0,3,4,0,0,0,0,19,59,79,"15-09-23","18:50:11","iffzsd",1519,"tri3.png",3,1,"tri",120,-120,"cir5.png",5,1,"cir",0,-120,"tri1.png",1,1,"tri",0,0,"tri3.png",3,1,"tri",120,0,"cir0.png",0,0,"cir",0,0,"",NA,"",NA,NA,"right","left",1232,1481,1,1697388708316,"p3sarrshacol4.png","sarrshacol","new"
1734,0,0,2,5,3,4,1,0,0,0,19,59,79,"15-09-23","18:50:11","iffzsd",1519,"cir1.png",1,1,"cir",-120,120,"sqa4.png",4,1,"sqa",120,-120,"cir2.png",2,1,"cir",0,0,"tri3.png",3,1,"tri",120,0,"sqa4.png",4,1,"sqa",-120,0,"",NA,"",NA,NA,"right","left",1232,1481,2,1697388708316,"p3sarrshacol4.png","sarrshacol","new"
1735,0,0,5,3,4,2,0,1,0,0,19,59,79,"15-09-23","18:50:11","iffzsd",1519,"tri3.png",3,1,"tri",0,120,"tri4.png",4,1,"tri",120,0,"sqa5.png",5,1,"sqa",-120,0,"cir6.png",6,1,"cir",0,0,"sqa4.png",4,1,"sqa",120,-120,"",NA,"",NA,NA,"right","left",1232,1481,3,1697388708316,"p3sarrshacol4.png","sarrshacol","new"
1736,0,0,1,2,5,3,0,4,0,0,19,59,79,"15-09-23","18:50:11","iffzsd",1519,"cir6.png",6,1,"cir",120,-120,"sqa4.png",4,1,"sqa",-120,0,"tri2.png",2,1,"tri",120,0,"sqa3.png",3,1,"sqa",0,120,"tri4.png",4,1,"tri",0,0,"",NA,"",NA,NA,"right","left",1232,1481,4,1697388708316,"p3sarrshacol4.png","sarrshacol","new"
2019,1,4,0,3,5,2,0,0,0,0,19,59,79,"11-09-23","17:03:10","f9w1z2",1210,"tri1.png",1,1,"tri",-120,-120,"cir4.png",4,1,"cir",120,0,"tri3.png",3,1,"tri",-120,0,"cir1.png",1,1,"cir",0,-120,"sqa4.png",4,1,"sqa",0,0,"",NA,"",NA,NA,"right","left",899,1790,1,1697036663393,"p3sarrshacol4.png","sarrshacol","new"
2020,0,4,5,1,0,3,2,0,0,0,19,59,79,"11-09-23","17:03:10","f9w1z2",1210,"cir4.png",4,1,"cir",-120,0,"tri6.png",6,1,"tri",-120,120,"tri4.png",4,1,"tri",120,0,"cir1.png",1,1,"cir",0,-120,"sqa4.png",4,1,"sqa",120,-120,"",NA,"",NA,NA,"right","left",899,1790,2,1697036663393,"p3sarrshacol4.png","sarrshacol","new"
2021,0,3,5,0,1,2,0,4,0,0,19,59,79,"11-09-23","17:03:10","f9w1z2",1210,"tri6.png",6,1,"tri",0,0,"cir3.png",3,1,"cir",120,0,"tri5.png",5,1,"tri",0,-120,"cir3.png",3,1,"cir",0,120,"sqa6.png",6,1,"sqa",120,-120,"",NA,"",NA,NA,"right","left",899,1790,3,1697036663393,"p3sarrshacol4.png","sarrshacol","new"
2022,NA,1,5,3,4,2,0,0,NA,0,19,59,79,"11-09-23","17:03:10","f9w1z2",1210,"tri1.png",1,1,"tri",0,-120,"cir3.png",3,1,"cir",120,0,"cir5.png",5,1,"cir",-120,0,"sqa6.png",6,1,"sqa",0,0,"tri1.png",1,1,"tri",120,-120,"tri0.png",1,"tri",-120,-120,"right","left",899,1790,4,1697036663393,"p3sarrshacol4.png","sarrshacol","new"
2164,4,0,2,0,1,5,3,0,0,0,19,59,79,"11-09-23","14:01:32","woproj",1645,"sqa1.png",1,1,"sqa",0,0,"sqa3.png",3,1,"sqa",120,-120,"sqa1.png",1,1,"sqa",-120,120,"tri1.png",1,1,"tri",-120,-120,"sqa2.png",2,1,"sqa",120,0,"",NA,"",NA,NA,"left","left",743,1355,1,1697025756235,"p3sarrshacol4.png","sarrshacol","new"
2165,3,2,NA,0,1,5,0,0,4,0,19,59,79,"11-09-23","14:01:32","woproj",1645,"sqa1.png",1,1,"sqa",0,0,"sqa2.png",2,1,"sqa",0,-120,"sqa3.png",3,1,"sqa",-120,-120,"tri4.png",4,1,"tri",120,120,"cir6.png",6,1,"cir",120,0,"sqa0.png",1,"sqa",120,-120,"left","left",743,1355,2,1697025756235,"p3sarrshacol4.png","sarrshacol","new"
2166,5,NA,0,4,3,1,0,2,NA,0,19,59,79,"11-09-23","14:01:32","woproj",1645,"sqa4.png",4,1,"sqa",120,0,"cir5.png",5,1,"cir",0,120,"sqa3.png",3,1,"sqa",0,0,"sqa6.png",6,1,"sqa",-120,0,"cir4.png",4,1,"cir",-120,-120,"sqa0.png",1,"sqa",120,120,"left","left",743,1355,3,1697025756235,"p3sarrshacol4.png","sarrshacol","new"
2167,0,0,5,1,0,2,3,0,4,0,19,59,79,"11-09-23","14:01:32","woproj",1645,"sqa6.png",6,1,"sqa",-120,0,"sqa2.png",2,1,"sqa",120,0,"tri1.png",1,1,"tri",-120,120,"sqa6.png",6,1,"sqa",120,120,"cir1.png",1,1,"cir",120,-120,"sqa0.png",1,"sqa",120,120,"left","left",743,1355,4,1697025756235,"p3sarrshacol4.png","sarrshacol","new"
2309,2,0,3,1,0,5,4,0,0,0,19,59,79,"11-09-23","12:36:43","t7oifc",177,"tri0.png",0,1,"tri",-120,0,"sqa5.png",5,1,"sqa",-120,-120,"sqa5.png",5,1,"sqa",120,-120,"cir4.png",4,1,"cir",-120,120,"cir4.png",4,1,"cir",120,0,"",NA,"",NA,NA,"right","left",1500,2823,1,1697020618677,"p3sarrshacol4.png","sarrshacol","new"
2310,3,0,0,1,0,5,4,0,2,0,19,59,79,"11-09-23","12:36:43","t7oifc",177,"tri0.png",0,1,"tri",-120,0,"sqa0.png",0,1,"sqa",120,120,"cir0.png",0,1,"cir",-120,-120,"tri0.png",0,1,"tri",-120,120,"sqa0.png",0,1,"sqa",120,0,"",NA,"",NA,NA,"right","left",1500,2823,2,1697020618677,"p3sarrshacol4.png","sarrshacol","new"
2311,1,0,2,0,0,4,0,5,3,0,19,59,79,"11-09-23","12:36:43","t7oifc",177,"tri0.png",0,1,"tri",-120,-120,"sqa0.png",0,1,"sqa",120,-120,"cir0.png",0,1,"cir",120,120,"tri0.png",0,1,"tri",120,0,"sqa0.png",0,1,"sqa",0,120,"",NA,"",NA,NA,"right","left",1500,2823,3,1697020618677,"p3sarrshacol4.png","sarrshacol","new"
2312,0,0,0,0,2,1,4,5,3,0,19,59,79,"11-09-23","12:36:43","t7oifc",177,"tri0.png",0,1,"tri",120,0,"tri0.png",0,1,"tri",0,0,"sqa0.png",0,1,"sqa",120,120,"sqa0.png",0,1,"sqa",-120,120,"sqa0.png",0,1,"sqa",0,120,"",NA,"",NA,NA,"right","left",1500,2823,4,1697020618677,"p3sarrshacol4.png","sarrshacol","new"
2454,3,4,0,1,2,5,0,0,0,0,19,59,79,"11-09-23","11:55:55","p63v13",1362,"cir6.png",6,1,"cir",-120,0,"sqa6.png",6,1,"sqa",0,0,"cir1.png",1,1,"cir",-120,-120,"sqa3.png",3,1,"sqa",0,-120,"tri2.png",2,1,"tri",120,0,"",NA,"",NA,NA,"left","down",1488,1638,1,1697018205909,"p3sarrshacol4.png","sarrshacol","new"
